('WK00000249', 'K3S0000465', 'MASELA', 'INPEX MASELA LTD.', 'EKSPLOITASI', 'PSC', '1998-11-16', '2055-11-15', 'AKTIF'),
('WK00000254', 'K3S0001143', 'MERANGIN II', 'PT SELE RAYA MERANGIN DUA', 'EKSPLOITASI', 'PSC', '2003-10-14', '2033-10-13', 'AKTIF'),
('WK00000266', 'K3S0001217', 'MURIAH', 'SAKA ENERGI MURIAH LTD.', 'EKSPLOITASI', 'PSC', '1991-05-20', '2026-12-31', 'AKTIF'),
('WK00000268', 'K3S0000115', 'MUTURI', 'BP MUTURI HOLDINGS B.V.', 'EKSPLOITASI', 'PSC', '1992-08-26', '2055-12-31', 'AKTIF'),
('WK00000295', 'K3S0000824', 'NORTH MADURA II', 'PC NORTH MADURA II LTD.', 'EKSPLOITASI', 'PSC', '2015-05-22', '2045-05-21', 'AKTIF'),
('WK00000299', 'K3S0001567', 'NORTH SOKANG', 'PT MEDCO ENERGI NATUNA TIMUR', 'EKSPLORASI', 'PSC', '2010-11-26', '2040-11-26', 'AKTIF'),
('WK00000312', 'K3S0001629', 'OFFSHORE MANGKALIHAT', 'CONRAD PETROLEUM OM PTE. LTD.', 'EKSPLORASI', 'PSC', '2013-05-15', '2043-05-14', 'AKTIF'),
('WK00000320', 'K3S0001082', 'OGAN KOMERING', 'PT PERTAMINA HULU ENERGI OGAN KOMERING', 'EKSPLOITASI', 'GS', '2018-05-20', '2038-05-19', 'AKTIF'),
('WK00000004', 'K3S0001042', 'ALAS DARA KEMUNING', 'PT PERTAMINA EP CEPU ADK', 'EKSPLOITASI', 'PSC', '2014-02-26', '2044-02-25', 'AKTIF'),
('WK00000006', 'K3S0000306', 'AMBALAT', 'ENI AMBALAT LTD.', 'EKSPLORASI', 'PSC', '1999-09-27', '2029-09-26', 'AKTIF'),
('WK00000009', 'K3S0001772', 'ANDAMAN I', 'MUBADALA ENERGY (ANDAMAN 1) RSC. LTD.', 'EKSPLORASI', 'GS', '2018-04-13', '2048-04-12', 'AKTIF'),
('WK00000010', 'K3S0000892', 'ANDAMAN II', 'PREMIER OIL ANDAMAN LTD.', 'EKSPLORASI', 'GS', '2018-04-13', '2048-04-12', 'AKTIF'),
('WK00000035', 'K3S0001141', 'BELIDA', 'PT SELE RAYA BELIDA', 'EKSPLOITASI', 'PSC', '2004-12-12', '2034-12-11', 'AKTIF'),
('WK00000042', 'K3S0000102', 'BERAU', 'BP BERAU LTD.', 'EKSPLOITASI', 'PSC', '1987-02-12', '2055-12-31', 'AKTIF'),
